#{"t_start": 1683883831.7376928, "env_id": null}
r,l,t
-103.725571,1331,3.593597
-58.424355,757,8.976865
-73.844949,1004,11.440794
-1.70005,28,11.508774
-81.679488,1096,16.737864
-69.126837,994,19.127809
-1.746626,12,19.157443
-1.407907,20,19.223087
-45.321164,647,20.753288
-20.458363,295,24.084601
-11.324473,194,24.52858
-1.308374,12,24.55598
-19.597275,338,25.295317
-67.97805,1158,28.010044
-4.298963,77,28.234151
-3.773161,79,28.457245
-34.072497,624,32.326938
-1.351364,9,32.34661
-17.811771,320,33.124879
-1.518063,28,33.252015
-6.924246,144,33.564572
-4.518827,71,33.716246
-7.871135,132,34.010013
-20.426741,359,34.781826
-2.783385,51,34.89473
-16.240369,277,35.642991
-2.862206,74,35.802712
-13.092267,279,38.975481
-2.464556,31,39.042814
-3.251327,53,39.155584
-1.3,8,39.173985
-1.005557,27,39.233444
-3.302576,45,39.335278
-1.638114,16,39.369166
-2.944811,64,39.505057
-1.178905,43,39.599821
-3.12225,34,39.6712
-4.075943,99,39.93807
-2.814057,45,40.069182
-3.895151,73,40.232634
-1.659802,21,40.278511
-7.40047,139,40.633821
0.199079,10,40.654018
-1.392956,9,40.672177
-5.50238,92,40.882104
-0.434901,16,40.917651
-12.046955,236,41.468276
-2.392902,58,41.590847
-10.077663,200,42.030991
-4.298318,100,42.295402
-1.551606,58,42.447509
-3.142903,97,42.677554
-11.738376,247,43.271706
-3.324001,77,45.921193
-3.690181,95,46.113982
-3.833109,100,46.329553
-2.147237,74,46.528515
-6.271161,172,46.913802
-2.565045,34,47.030277
-2.809869,81,47.247482
-3.682011,74,47.40644
-1.699976,32,47.472921
-2.129932,35,47.577744
-0.552749,14,47.604535
-3.630797,73,47.791766
-7.242518,164,48.155567
-0.826003,23,48.203586
-6.664162,162,48.556182
-4.338629,71,48.713939
-3.165964,51,48.825388
-2.210043,40,48.922799
-1.789362,34,48.998115
-3.198789,39,49.084185
-2.618039,49,49.239678
-1.718293,20,49.296403
-2.600579,48,49.395276
-4.882313,111,49.663003
-5.221692,124,49.981965
-4.687956,88,50.177494
-4.46258,73,50.339497
-1.412314,24,50.391634
-5.599652,168,53.265402
-2.585188,37,53.347547
-3.133535,54,53.461701
-2.571969,34,53.533257
-1.886088,53,53.657339
-4.939569,93,53.962678
-5.399481,133,54.300511
-2.171593,27,54.369592
-0.862523,26,54.453021
-1.902401,46,54.560142
-3.220244,63,54.695014
-0.704266,31,54.759222
-2.186141,57,54.932488
-1.899999,18,54.971006
-3.586423,88,55.157886
-3.249799,53,55.284758
-3.194429,46,55.388692
-1.069378,33,55.459433
-1.643874,80,55.623248
-4.920665,142,55.934121
-1.1,6,55.946324
-0.778553,19,55.985552
-1.689583,15,56.017953
-0.143665,7,56.033282
-3.288653,43,56.12561
-3.353412,57,56.274153
-0.250712,15,56.30516
-0.2009,29,56.412004
-2.563569,69,56.576
-1.521606,35,56.672344
-2.477066,58,56.799808
-1.781971,46,56.911545
-2.29103,37,56.988837
-1.956306,56,57.1074
0.429021,28,57.21286
-2.373762,83,57.406658
-1.581258,17,57.445708
-1.287585,9,57.46611
-5.007242,91,57.666515
-1.468169,43,57.761466
-2.413505,28,57.826878
-1.50264,32,57.900751
-2.601833,66,58.045603
-1.199977,16,60.588484
-1.015141,24,60.641186
-0.614223,27,60.700918
-2.180784,43,60.801013
-1.126236,11,60.825226
-0.657241,33,60.89012
-0.230362,19,60.943284
0.182102,39,61.042115
-1.566999,18,61.083415
-3.165988,70,61.25449
-1.588526,30,61.339284
-1.860815,67,61.529021
-1.599996,36,61.610429
-0.632996,32,61.676942
-2.374294,58,61.801853
-1.962937,29,61.867669
-1.040452,28,61.92278
-1.620674,25,61.972738
-1.5,37,62.082188
-1.389315,29,62.161562
-1.39492,18,62.1982
-0.323201,26,62.253069
-1.313387,25,62.305412
-1.057836,80,62.471296
-2.143607,36,62.550747
0.351412,72,62.705777
-1.333116,24,62.755311
-1.249756,30,62.819915
-1.572731,20,62.860392
-1.547791,69,62.99894
-0.968944,11,63.020395
-1.4,17,63.053464
-1.499656,18,63.090466
-1.398001,9,63.111631
-3.232327,72,63.299559
-3.413375,129,63.59249
-1.720415,19,63.642269
-1.668445,35,63.726665
-0.773093,67,63.870915
-1.699111,24,63.922543
-2.686276,39,64.003333
-1.006127,29,64.067338
-1.746027,49,64.175071
-1.2,9,64.193751
-4.042666,81,64.417328
-1.215618,16,64.449399
-1.4,16,64.483341
-1.346157,14,64.513807
-1.842373,48,64.611181
-0.794084,77,64.776871
-1.160346,21,64.824863
-1.32267,25,64.880754
-1.2,15,64.913031
-1.64556,57,65.036146
-1.676753,25,65.092808
-1.432329,33,65.165058
-1.215275,8,65.182556
-1.406401,27,67.81905
-1.224189,18,67.884843
-0.123967,11,67.912626
-1.483211,12,67.941107
-1.888616,48,68.044073
-2.811017,63,68.202352
-1.499988,10,68.22295
-2.056469,46,68.330696
-0.798201,24,68.383461
-2.539331,61,68.55016
-2.128878,34,68.625133
-1.417992,52,68.738529
-0.99146,21,68.786993
-1.727329,48,68.890255
-1.392257,28,68.948391
-1.199983,24,68.998389
-1.05963,13,69.026003
-1.497643,26,69.08001
-1.211811,36,69.201567
-1.62246,75,69.394295
-0.267044,14,69.42477
-3.29549,81,69.597968
-1.340772,17,69.633783
-0.171279,31,69.698944
-1.897195,20,69.740175
-2.00858,38,69.822074
-1.000258,54,69.937113
-1.517401,21,69.981241
-0.271968,11,70.003872
-0.058105,26,70.060735
-1.667373,30,70.128104
-1.63569,19,70.194009
-0.506975,12,70.220847
-0.989737,25,70.274711
-2.208625,77,70.467478
-2.597286,54,70.582804
-2.33868,90,70.809731
-0.40402,28,70.873133
-0.691812,39,70.953548
-0.306661,21,70.996165
-0.366176,18,71.033128
-2.074412,36,71.109105
-0.109707,37,71.188095
-1.555064,16,71.222556
-1.524887,22,71.267609
-1.6761,71,71.556613
-1.389649,45,71.660666
0.142187,20,71.703906
-1.794219,24,71.762572
-1.399998,32,71.836714
-2.028729,72,71.98936
-2.18781,39,72.07623
-1.386803,15,72.109687
0.417601,15,72.143456
-1.595001,19,72.185946
-0.889796,59,72.319949
-0.323832,17,72.35741
-1.576182,68,72.50602
-1.303781,46,72.60695
-0.76658,36,75.197939
-1.238906,19,75.256888
-0.210826,14,75.293131
0.159495,48,75.393184
-2.523639,58,75.53228
0.133504,21,75.580658
-1.196577,34,75.650203
-1.121023,32,75.717112
-0.833898,36,75.792004
-0.588949,9,75.811288
-0.959688,24,75.859191
-1.222068,14,75.887452
-1.185944,12,75.914989
-1.270441,17,75.952016
-1.2825,28,76.009826
-1.399984,26,76.061696
-1.201541,20,76.103437
-1.077386,46,76.201646
-1.227867,11,76.225898
-1.109052,30,76.347417
-1.192768,16,76.398734
-1.149257,53,76.520859
-1.003056,70,76.678698
0.770458,34,76.751277
-1,12,76.776461
-0.592816,39,76.859755
-0.904605,33,76.927043
-0.22312,29,76.984576
-2.736244,49,77.082254
-0.374484,22,77.125419
-0.549877,51,77.260271
-2.272667,90,77.487708
0.084248,28,77.547375
-0.390634,13,77.575819
-0.638127,24,77.626523
-1.605065,30,77.688915
-0.960055,19,77.729952
-0.87025,34,77.826715
-2.084714,36,77.901102
-0.328091,46,78.001599
-1.37669,85,78.183887
0.127253,33,78.2534
-1.337469,16,78.287993
-2.1,41,78.373117
-0.77009,20,78.413451
0.044794,28,78.476663
-1.282954,18,78.516028
-1.05231,20,78.557856
-1.162063,14,78.635755
-1.199437,28,78.695061
-1.148235,35,78.773977
-0.444538,16,78.812209
-1.638301,22,78.860992
0.031558,36,78.939503
-2.164183,50,79.044489
-0.58674,23,79.095262
-0.558442,12,79.122162
-1.312015,45,79.221945
-0.2352,40,79.317737
-1.603455,31,79.387613
-0.77925,16,79.42335
-1.398188,19,79.464783
0.33249,50,79.573005
-1.552915,59,79.706089
-0.502499,12,79.732352
-2.082604,48,82.460931
-1.444968,48,82.556252
-1.793042,29,82.635094
-1.196328,18,82.676084
-1.3,18,82.715537
-0.770177,85,82.899602
-0.444329,35,82.973689
-0.285613,20,83.016579
-1.99909,26,83.071534
-1.108759,23,83.120385
1.01297,17,83.15757
-1.573291,54,83.271961
-1.1,7,83.286588
-1.952937,69,83.462909
-1.599999,30,83.551939
-0.954359,27,83.608857
-1.164003,25,83.665938
-2.295159,61,83.794472
-1.843358,48,83.905756
-0.981352,70,84.054754
0.035234,34,84.122188
-0.982033,40,84.239049
-1,25,84.292173
0.037366,25,84.346903
-0.042319,13,84.372687
-1,10,84.419027
-1.168074,41,84.516023
-1.623786,28,84.573899
-0.421251,27,84.633805
-0.456416,24,84.684763
-0.269653,98,84.907341
-0.274635,18,84.947254
-2.013961,55,85.065563
-1.199963,10,85.087728
-1.214888,18,85.126649
-0.817012,53,85.23887
-0.667144,11,85.261712
0.507097,23,85.321764
-0.261326,30,85.386824
-1.279799,38,85.464973
-1.151458,35,85.535237
-1.699555,52,85.643713
-0.15655,36,85.774476
-0.379053,23,85.826314
-0.560892,23,85.8768
0.383884,34,85.952262
-1.293371,33,86.021238
-1.068067,26,86.075717
-1.339186,17,86.1123
-1.48907,17,86.149214
-0.003868,12,86.175075
-1.2,15,86.207942
0.255936,18,86.247625
-0.164513,37,86.331822
-1.200933,43,86.4522
-1.590858,16,86.488796
-0.646458,7,86.504382
-0.789184,46,86.60835
-1.753627,99,86.829991
-0.499095,35,86.906181
-1.499005,22,86.955841
-1.226465,30,87.020327
-0.54038,12,87.047008
0.080416,64,89.823564
-0.279378,16,89.858206
-1.816162,43,89.9498
-0.18326,19,89.988522
-1.106398,19,90.029228
-0.390279,28,90.090179
-0.3811,70,90.235063
-0.733106,14,90.265143
-1.159526,19,90.307473
-2.169476,75,90.465508
-2.249098,78,90.682359
-1.237038,37,90.765547
-1.155524,16,90.800596
-1.288241,33,90.865571
-0.873323,9,90.884779
-0.456549,25,90.936387
-1.424323,101,91.142886
0.038114,16,91.208517
-0.273533,19,91.253763
-0.483769,13,91.282504
-1.1,19,91.327763
-0.250892,39,91.409435
0.393549,71,91.620164
-1.005889,15,91.652614
-0.639117,13,91.679861
-0.903471,55,91.794169
-1.29976,18,91.859595
-1.566519,50,91.966881
-0.758708,20,92.008266
-0.903647,12,92.033308
-1.900161,39,92.113085
-1.2,19,92.152215
-1.220344,39,92.234498
-0.030952,21,92.279359
-0.254668,66,92.418654
-1.098831,41,92.504806
-1.028598,32,92.572614
-1.02221,25,92.627982
-0.674772,10,92.649739
-1.52708,23,92.6976
-1.424456,31,92.764428
-1.199996,16,92.800817
-1.1,13,92.827519
-1.075673,36,92.956441
-0.210341,11,92.979753
-1.034428,54,93.09797
-1.772246,95,93.297826
-1.435479,21,93.345497
-0.937662,23,93.395071
-1.360949,9,93.415296
-0.955469,13,93.444961
-1.488478,34,93.526479
-0.618386,18,93.567227
-0.718239,33,93.64045
-1.583442,64,93.777695
-0.316819,26,93.835208
-0.111807,12,93.861659
-0.885988,23,93.911103
-0.883736,21,93.960616
0.159796,92,94.161714
-1.6e-05,11,94.186035
-0.980089,8,94.203916
-1.199885,24,94.254464
-0.383793,13,94.283678
-1,9,94.306613
-0.57336,47,97.034368
-0.682412,10,97.055056
-0.566354,24,97.105717
-1.570847,27,97.160708
-1.331893,71,97.316329
-0.406995,33,97.382538
-0.712166,14,97.413002
0.645075,38,97.49458
0.089974,37,97.582973
-1.406691,17,97.617144
-1.099962,21,97.658237
-1.057904,35,97.730556
-1.058279,118,98.028278
-0.102191,21,98.072012
0.35893,23,98.122307
-0.827373,11,98.146915
-1,7,98.173961
-0.34909,31,98.247756
-0.432443,35,98.331663
-1.4,19,98.37363
-1.550457,17,98.410322
-0.299856,29,98.473937
-1.43035,69,98.645358
-0.392928,18,98.685269
-0.64287,27,98.747837
0.115522,83,98.947614
-1.24636,24,98.998785
0.463756,28,99.062193
-1.087166,27,99.116055
0.124853,9,99.134696
-0.850969,15,99.16615
-1.042378,57,99.289639
-0.941133,29,99.352921
-0.353731,8,99.370775
-1.268052,29,99.431709
-0.265557,26,99.487748
-1.069407,12,99.512693
-1.775933,51,99.619911
-1.098068,13,99.647741
-1.3,23,99.694948
-1.308758,41,99.778352
-1.310774,14,99.808531
-0.205665,29,99.876798
-0.692989,16,99.910251
-0.553737,16,99.945768
-0.755915,15,99.98151
-1.488659,17,100.044842
-0.817986,25,100.114408
0.144741,20,100.163034
-0.573492,37,100.239729
-1.198554,21,100.287979
-0.533342,36,100.370215
-1.299748,43,100.462716
-1.518645,50,100.569158
-0.294266,34,100.644386
-1.227069,44,100.740678
-0.977792,34,100.817625
-1.314189,42,100.909965
-0.88357,19,100.951245
-1,15,100.983444
-1.4,12,101.010096
-0.206966,84,101.196435
-1.369273,15,101.231163
-1.1,22,101.285309
-1.374906,34,101.367444
